"3,RTA SURYAPET",1
"3,RTA UPPAL",1
"3,RTA VIKARABAD",1
"3,RTA WANAPARTHY",1
"3,RTA-HYDERABAD-SZ",1
"3,RTA HANUMAKONDA",1
"3,RTA MAHABOOBNAGAR",1
"3,RTA MEDCHAL",1
"3,RTA NAGARKURNOOL",1
"10,RTA NIZAMABAD",1
"13,RTA RANGAREDDY",1
"14,RTA MEDCHAL",1
"10,RTA KAMAREDDY",1
"10,RTA ADILABAD",1
"2,RTA MULUGU",1
"1,RTA WARANGAL",1
"0,RTA KARIMNAGAR",1
"0,RTA KHAMMAM",1
"0,RTA MEDCHAL",1
"1,RTA KOMRAMBHEEM",1
"7,RTA MAHABUBABAD",1
"7,RTA BHADRADRI",1
"50.0,5,RTA VIKARABAD",1
"50.0,5,UNIT OFFICE KUKATPALLY",1
"6,RTA IBRAHIMPATNAM",1
"6,RTA-HYDERABAD-SZ",1
"6,RTA-HYDERABAD-WZ",1
"7,UNIT OFFICE PATANCHERUVU",1
"8,RTA JAGITYAL",1
"8,RTA JANGOAN",1
"8,RTA KAMAREDDY",1
"7,UNIT OFFICE HUZURABAD",1
"7,UNIT OFFICE KALWAKURTHY",1
"4,UNIT OFFICE PATANCHERUVU",1
"4,UNIT OFFICE RAMAGUNDAM",1
"4,RTA PEDDAPALLI",1
"4,UNIT OFFICE ARMOOR",1
"4,UNIT OFFICE BHADRACHALAM",1
"4,UNIT OFFICE HUZURABAD",1
"4,UNIT OFFICE KODAD",1
"4,UNIT OFFICE KUKATPALLY",1
"DIESEL,50.0,5,RTA-HYDERABAD-CZ",1
"DIESEL,50.0,5,RTA-HYDERABAD-SZ",1
"8,UNIT OFFICE MIRYALAGUDA",1
"8,UNIT OFFICE KORUTLA",1
"83.0,5,RTA JAYASHANKAR",1
"83.0,5,RTA MAHABOOBNAGAR",1
"83.0,5,RTA UPPAL",1
"83.0,5,RTA-HYDERABAD-CZ",1
"83.0,5,RTA-HYDERABAD-WZ",1
"83.0,5,UNIT OFFICE KORUTLA",1
"83.0,5,UNIT OFFICE KUKATPALLY",1
"9,RTA MEDCHAL",1
"9,RTA NALGONDA",1
"8,RTA RAJANNA",1
"8,RTA MANCHERIAL",1
"8,RTA WANAPARTHY",1
"8,RTA SANGAREDDY",1
